episode,epReward,cumReward,cumRegret,empRegret
61000,0.00,1335.75,22451.93,22296.90
62000,0.00,1533.25,22610.38,22486.82
63000,0.00,1771.30,22806.11,22636.19
64000,0.00,1968.04,23003.58,22826.87
65000,0.82,2185.48,23190.98,22996.86
66000,0.00,2348.99,23377.83,23220.76
67000,2.90,2543.95,23564.22,23413.22
68000,0.00,2762.75,23753.66,23581.85
69000,-1.18,2916.29,23945.45,23815.72
70000,-2.11,3167.67,24125.66,23951.76
71000,0.00,3322.18,24301.81,24184.67
72000,0.51,3546.75,24491.11,24347.53
73000,0.32,3792.84,24681.42,24488.86
74000,0.74,4044.95,24871.72,24624.17
75000,0.00,4223.25,25041.44,24833.28
76000,0.83,4396.77,25200.74,25047.18
77000,-0.44,4604.83,25371.34,25226.54
78000,0.00,4820.81,25526.29,25397.99
79000,0.00,5015.42,25682.90,25590.80
80000,0.07,5184.52,25850.85,25809.12
81000,1.16,5420.07,26012.09,25960.99
82000,0.00,5608.33,26157.49,26160.15
83000,0.03,5840.28,26321.60,26315.62
84000,-0.19,6017.91,26480.01,26525.42
85000,0.00,6206.45,26642.53,26724.30
86000,-0.78,6445.03,26794.94,26873.13
87000,0.45,6643.99,26946.76,27061.60
88000,-0.30,6906.12,27094.48,27186.88
89000,-0.04,7195.87,27241.84,27284.55
90000,0.00,7456.58,27395.18,27411.27
91000,1.78,7666.98,27545.31,27588.29
92000,-1.85,7901.51,27683.29,27741.18
93000,1.69,8117.72,27836.54,27912.39
94000,0.00,8345.69,27982.56,28071.83
95000,0.00,8557.64,28138.97,28247.31
96000,0.76,8750.41,28288.73,28441.96
97000,-2.39,8962.31,28441.72,28617.47
98000,1.23,9144.95,28590.95,28822.25
99000,0.00,9368.13,28743.43,28986.49
100000,3.01,9616.90,28894.82,29125.15
110000,0.00,12240.74,30297.08,30375.52
120000,-0.35,14630.53,31544.92,31859.93
130000,0.33,17280.19,32718.98,33084.48
140000,-1.09,20080.85,33814.04,34158.02
150000,-1.04,22987.19,34812.00,35125.88
160000,0.32,25928.68,35802.87,36058.60
170000,1.83,28833.15,36684.63,37028.33
180000,0.62,31828.73,37495.80,37906.95
190000,0.00,35068.54,38354.04,38541.35
200000,1.15,38286.52,39100.96,39197.58
210000,1.49,41664.18,39804.11,39694.12
220000,-0.52,44671.66,40362.64,40560.85
230000,0.00,48080.61,40931.67,41026.10
240000,0.23,51434.38,41485.28,41546.54
250000,0.00,54741.63,41976.68,42113.49
260000,-0.50,58138.62,42425.33,42590.70
270000,0.00,61439.78,42851.81,43163.75
280000,0.00,64781.11,43262.99,43696.62
290000,0.30,68245.84,43649.03,44106.10
300000,-0.53,71785.76,44064.60,44440.39
310000,0.00,75131.57,44434.48,44968.78
320000,0.00,78705.09,44833.29,45269.47
330000,1.63,82260.97,45203.68,45587.79
340000,-0.68,85790.60,45565.03,45932.37
350000,-0.06,89439.66,45900.58,46157.51
