episode,epReward,cumReward,cumRegret,empRegret
58000,1.01,21551.75,3027.11,2205.05
59000,0.93,21931.69,3029.51,2234.71
60000,0.00,22335.29,3031.91,2240.71
61000,-0.43,22745.52,3034.31,2240.08
62000,0.49,23116.48,3036.71,2278.72
63000,-0.02,23513.22,3039.31,2291.58
64000,0.00,23923.41,3041.71,2290.99
65000,0.51,24387.23,3043.31,2236.77
66000,2.16,24767.72,3045.71,2265.88
67000,0.78,25200.05,3048.11,2243.15
68000,1.08,25611.74,3049.71,2241.06
69000,-0.16,26010.35,3052.11,2252.05
70000,0.63,26457.41,3053.71,2214.59
71000,0.83,26796.40,3056.11,2285.20
72000,-0.68,27206.51,3058.71,2284.69
73000,-2.09,27547.61,3061.11,2353.19
74000,0.00,27992.54,3062.71,2317.86
75000,1.23,28386.09,3064.31,2333.91
76000,1.06,28753.60,3066.71,2376.00
77000,0.00,29148.89,3068.31,2390.31
78000,0.74,29529.71,3069.91,2419.09
79000,0.28,29938.09,3071.51,2420.31
80000,0.00,30349.00,3073.11,2419.00
81000,-1.37,30763.09,3075.51,2414.51
82000,1.03,31200.91,3077.11,2386.29
83000,0.30,31622.96,3078.71,2373.84
84000,0.76,32047.54,3081.11,2358.86
85000,3.58,32442.79,3083.71,2373.21
86000,0.97,32806.67,3086.11,2418.93
87000,0.00,33228.15,3086.91,2407.05
88000,0.45,33608.69,3089.31,2436.11
89000,1.26,33955.65,3090.11,2498.75
90000,3.42,34438.52,3091.71,2425.48
91000,0.41,34793.60,3092.51,2480.00
92000,0.00,35210.92,3094.91,2472.28
93000,0.00,35562.89,3095.71,2529.91
94000,1.73,35981.09,3097.31,2521.31
95000,0.86,36392.89,3098.91,2519.11
96000,-0.60,36725.62,3101.51,2595.98
97000,0.11,37076.27,3103.11,2654.93
98000,1.51,37384.87,3105.51,2755.93
99000,0.97,37711.97,3107.11,2838.43
100000,3.14,38170.09,3108.71,2789.91
110000,0.94,42188.39,3119.91,2867.61
120000,0.00,46146.08,3131.31,3005.92
130000,0.96,50214.79,3143.51,3033.21
140000,-4.62,54330.96,3153.11,3013.04
150000,-0.28,58633.26,3161.11,2806.74
160000,1.87,62902.62,3169.31,2633.38
170000,1.32,66952.44,3175.71,2679.56
180000,1.97,71053.38,3178.11,2674.62
190000,-0.06,75013.76,3179.11,2810.24
200000,2.30,79106.11,3179.11,2813.89
210000,0.96,83130.56,3179.11,2885.44
220000,0.38,87125.54,3180.11,2986.46
230000,0.00,91274.84,3180.11,2933.16
240000,2.09,95490.52,3180.11,2813.48
250000,2.10,99755.76,3180.11,2644.24
260000,0.00,103923.20,3181.11,2572.80
270000,0.00,107816.60,3181.11,2775.40
280000,0.76,112148.74,3181.11,2539.26
290000,0.68,116268.94,3181.11,2515.06
300000,0.00,120332.01,3181.11,2547.99
310000,-2.13,124364.99,3182.11,2611.01
320000,-0.39,128361.12,3182.11,2710.88
330000,1.26,132489.67,3182.11,2678.33
340000,0.30,136445.72,3182.11,2818.28
350000,3.30,140482.23,3182.11,2877.77
360000,0.00,144485.13,3183.11,2970.87
370000,2.34,148515.55,3183.11,3036.45
380000,0.43,152442.35,3183.11,3205.65
390000,-3.19,156447.28,3183.11,3296.72
400000,0.00,160457.34,3183.11,3382.66
410000,2.11,164420.99,3183.11,3515.01
420000,0.40,168722.36,3184.11,3309.64
430000,0.00,172859.80,3184.11,3268.20
440000,-0.34,177017.69,3184.11,3206.31
450000,0.89,181080.71,3184.11,3239.29
460000,1.83,185113.81,3184.11,3302.19
470000,0.36,189328.42,3184.11,3183.58
480000,0.64,193250.23,3184.11,3357.77
490000,1.59,197462.80,3184.11,3241.20
500000,1.86,201446.43,3184.11,3353.57
510000,-1.52,205489.66,3184.11,3406.34
520000,-1.60,209605.48,3185.11,3386.52
530000,2.38,213764.18,3185.11,3323.82
540000,0.62,217676.18,3185.11,3507.82
550000,0.93,221631.60,3185.11,3648.40
560000,1.88,225850.52,3185.11,3525.48
570000,-2.48,229987.89,3185.11,3484.11
580000,0.00,233832.31,3185.11,3735.69
590000,-2.22,237803.16,3185.11,3860.84
600000,-2.90,241787.04,3185.11,3972.96
610000,0.68,246100.94,3185.11,3755.06
620000,-1.59,250104.34,3185.11,3847.66
630000,1.24,254208.76,3185.11,3839.24
640000,-0.37,258480.65,3186.11,3663.35
650000,-0.05,262617.95,3186.11,3622.05
660000,1.15,266577.58,3186.11,3758.42
670000,2.28,270533.71,3186.11,3898.29
680000,-1.32,274521.34,3186.11,4006.66
690000,0.96,278550.57,3186.11,4073.43
700000,1.09,282643.45,3186.11,4076.55
710000,-0.34,286732.84,3186.11,4083.16
720000,1.16,290941.40,3186.11,3970.60
730000,0.88,295156.76,3186.11,3851.24
740000,-0.84,299255.61,3186.11,3848.39
